Product_Name,Web_url
River Prawn Small- 4cm 250gm(Berhampur),https://yoshops.com//products/river-prawn-small-4cm-250gm-berhampur
Rohu River Fish Raw 1Kg(Berhampur),https://yoshops.com//products/rohu-river-fish-raw-1kg-berhampur
Rohu River Fish Cutting(No Head) 1Kg(Berhampur),https://yoshops.com//products/rohu-river-fish-cutting-no-head-1kg-berhampur
Vakura Catla River Fish Raw 1Kg(Berhampur),https://yoshops.com//products/vakura-catla-river-fish-raw-1kg-berhampur
River Prawn Raw Big-12cm 250gm(Berhampur),https://yoshops.com//products/river-prawn-raw-big-12cm-250gm-berhampur
River Prawn Raw Middium- 6cm 250gm(Berhampur),https://yoshops.com//products/river-prawn-raw-middium-6cm-250gm-berhampur
River Prawn Raw Big-12cm 500gm(Berhampur),https://yoshops.com//products/river-prawn-raw-big-12cm-500gm-berhampur
River Prawn Raw Middium- 6cm 500gm(Berhampur),https://yoshops.com//products/river-prawn-raw-middium-6cm-500gm-berhampur
River Prawn Small- 4cm 500gm(Berhampur),https://yoshops.com//products/river-prawn-small-4cm-500gm-berhampur
Cooking OiL 1Liter(Berhampur),https://yoshops.com//products/cooking-oil-1liter-berhampur
ATTA 1Kg(Berhampur),https://yoshops.com//products/atta-1kg-berhampur
Sweet Pickel 1Kg(Berhampur),https://yoshops.com//products/sweet-pickel-1kg-berhampur
